#GEN	TIME		EVAL	BEST		AVG		STDDEV		WORST

0	0.0		64		0.00e+00  0.00e+00  0.00e+00  0.00e+00
1	0.0		128		0.00e+00  0.00e+00  0.00e+00  0.00e+00
2	0.0		192		0.00e+00  0.00e+00  0.00e+00  0.00e+00
3	0.0		256		0.00e+00  0.00e+00  0.00e+00  0.00e+00
4	0.0		320		0.00e+00  0.00e+00  0.00e+00  0.00e+00
5	0.0		384		0.00e+00  0.00e+00  0.00e+00  0.00e+00
6	0.0		448		0.00e+00  0.00e+00  0.00e+00  0.00e+00
7	0.0		512		0.00e+00  0.00e+00  0.00e+00  0.00e+00
8	0.0		576		0.00e+00  0.00e+00  0.00e+00  0.00e+00
9	0.0		640		0.00e+00  0.00e+00  0.00e+00  0.00e+00
10	0.0		704		0.00e+00  0.00e+00  0.00e+00  0.00e+00
11	0.0		768		0.00e+00  0.00e+00  0.00e+00  0.00e+00
12	0.0		832		0.00e+00  0.00e+00  0.00e+00  0.00e+00
13	0.0		896		0.00e+00  0.00e+00  0.00e+00  0.00e+00
14	0.0		960		0.00e+00  0.00e+00  0.00e+00  0.00e+00
15	0.0		1024		0.00e+00  0.00e+00  0.00e+00  0.00e+00
16	0.0		1088		0.00e+00  0.00e+00  0.00e+00  0.00e+00
17	0.0		1152		0.00e+00  0.00e+00  0.00e+00  0.00e+00
18	0.0		1216		0.00e+00  0.00e+00  0.00e+00  0.00e+00
19	0.0		1280		0.00e+00  0.00e+00  0.00e+00  0.00e+00
20	0.0		1344		0.00e+00  0.00e+00  0.00e+00  0.00e+00
21	0.0		1408		0.00e+00  0.00e+00  0.00e+00  0.00e+00
22	0.0		1472		0.00e+00  0.00e+00  0.00e+00  0.00e+00
23	0.0		1536		0.00e+00  0.00e+00  0.00e+00  0.00e+00
24	0.0		1600		0.00e+00  0.00e+00  0.00e+00  0.00e+00
25	0.0		1664		0.00e+00  0.00e+00  0.00e+00  0.00e+00
26	0.0		1728		0.00e+00  0.00e+00  0.00e+00  0.00e+00
27	0.0		1792		0.00e+00  0.00e+00  0.00e+00  0.00e+00
28	0.0		1856		0.00e+00  0.00e+00  0.00e+00  0.00e+00
29	0.0		1920		0.00e+00  0.00e+00  0.00e+00  0.00e+00
30	0.0		1984		0.00e+00  0.00e+00  0.00e+00  0.00e+00
31	0.0		2048		0.00e+00  0.00e+00  0.00e+00  0.00e+00
32	0.0		2112		0.00e+00  0.00e+00  0.00e+00  0.00e+00
33	0.0		2176		0.00e+00  0.00e+00  0.00e+00  0.00e+00
34	0.0		2240		0.00e+00  0.00e+00  0.00e+00  0.00e+00
35	0.0		2304		0.00e+00  0.00e+00  0.00e+00  0.00e+00
36	0.0		2368		0.00e+00  0.00e+00  0.00e+00  0.00e+00
37	0.0		2432		0.00e+00  0.00e+00  0.00e+00  0.00e+00
38	0.0		2496		0.00e+00  0.00e+00  0.00e+00  0.00e+00
39	0.0		2560		0.00e+00  0.00e+00  0.00e+00  0.00e+00
40	0.0		2624		0.00e+00  0.00e+00  0.00e+00  0.00e+00
41	0.0		2688		0.00e+00  0.00e+00  0.00e+00  0.00e+00
42	0.0		2752		0.00e+00  0.00e+00  0.00e+00  0.00e+00
43	0.0		2816		0.00e+00  0.00e+00  0.00e+00  0.00e+00
